# Parámetros:  ./calcular_cdt 16 32 MER DES 10000
# Ejecutando orden:  ./gen_traza MER DES 10000
#
#         Posición       Intervalo        Páginas       Págs/op.
#
           21280              32               4        0.125000
           21312              32               6        0.187500
           21344              32               5        0.156250
           21376              32               3        0.093750
           21408              32               3        0.093750
           21440              32               2        0.062500
           21472              32               4        0.125000
           21504              32               4        0.125000
           21536              32               4        0.125000
           21568              32               3        0.093750
           21600              32               4        0.125000
           21632              32               4        0.125000
           21664              32               2        0.062500
           21696              32               4        0.125000
           21728              32               6        0.187500
           21760              32               4        0.125000
           21792              32               4        0.125000
           21824              32               7        0.218750
           21856              32               4        0.125000
           21888              32               5        0.156250
           21920              32               4        0.125000
           21952              32               4        0.125000
           21984              32               4        0.125000
           22016              32               4        0.125000
           22048              32               4        0.125000
           22080              32               4        0.125000
           22112              32               5        0.156250
           22144              32               3        0.093750
